time	task_A_1	task_B_1	task_B_2	task_B_3	voter	task_C_1
208074	109	168	94	218	11	154
208085	109	168	95	218	11	154
208238	110	168	95	218	11	154
209470	110	168	95	219	11	154
209481	110	168	95	220	11	154
209492	110	168	95	221	11	154
209671	110	169	95	221	11	154
209723	110	169	95	221	11	155
209872	110	169	96	221	11	155
210922	110	169	96	221	11	156
211078	110	169	96	222	11	156
211279	110	170	96	222	11	156
211290	110	171	96	222	11	156
211301	110	172	96	222	11	156
211353	110	172	96	222	11	157
211364	110	172	96	222	11	158
211375	110	172	96	222	11	159
212485	110	172	96	223	11	159
212686	110	173	96	223	11	159
212697	110	174	96	223	11	159
212749	110	174	96	223	11	160
212888	110	174	96	224	11	160
214067	111	174	96	224	11	160
214294	111	174	96	225	11	160
215474	112	174	96	225	11	160
215701	112	174	96	226	11	160
215902	112	175	96	226	11	160
217108	112	176	96	226	11	160
217119	112	177	96	226	11	160
217173	112	177	96	226	11	161
217184	112	177	96	226	11	162
217309	112	177	96	227	11	162
217320	112	177	96	228	11	162
217331	112	177	96	229	11	162
218515	112	178	96	229	11	162
218564	112	178	96	229	11	163
218716	112	178	96	230	11	163
218917	112	179	96	230	11	163
218928	112	180	96	230	11	163
220097	113	180	96	230	11	163
220324	113	180	96	231	11	163
221530	113	180	97	231	11	163
221541	113	180	98	231	11	163
221552	113	180	99	231	11	163
221713	114	180	99	231	11	163
221932	114	180	99	232	11	163
223138	114	180	100	232	11	163
223187	114	180	100	232	11	164
223339	114	180	100	233	11	164
223350	114	180	100	234	11	164
224545	114	180	101	234	11	164
224556	114	180	102	234	11	164
224720	115	180	102	234	11	164
224947	115	180	102	235	11	164
224958	115	180	102	236	11	164
226156	115	180	102	237	11	164
226355	115	181	102	237	11	164
226366	115	182	102	237	11	164
226419	115	182	102	237	11	165
226430	115	182	102	237	11	166
226442	115	182	102	237	11	167
227561	115	183	102	237	11	167
227573	115	184	102	237	11	167
227622	115	184	102	237	11	168
227761	115	184	102	238	11	168
227772	115	184	102	239	11	168
227784	115	184	102	240	11	168
227962	115	185	102	240	11	168
229015	115	185	102	240	11	169
229168	115	185	102	241	11	169
229179	115	185	102	242	11	169
229382	115	186	102	242	11	169
229435	115	186	102	242	11	170
229446	115	186	102	242	11	171
229457	115	186	102	242	11	172
230575	115	187	102	242	11	172
230634	115	187	102	242	11	173
