Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
381	false	0	1667739	2	rsi
382	false	0	744469	6	r9
383	false	0	318353	4	r10
384	false	0	318353	4	r15
385	false	0	1561891	8	rsp
386	false	0	1229453	2	rbp
387	false	0	846827	5	r13
388	false	0	1618908	7	r8
389	false	0	1279271	6	r11
390	false	0	173832	5	r14
391	false	0	345857	3	r11
392	false	0	1436744	5	r9
393	false	0	1500179	7	rax
394	false	0	1043179	0	rdx
395	false	0	1178589	0	rcx
396	false	0	1800266	9	r10
397	false	0	656511	4	rbp
398	false	0	972114	4	r12
399	false	0	821646	7	rax
400	false	0	70885	4	rax
401	false	0	70885	4	rax
402	false	0	70885	4	rbp
403	false	0	550344	5	rdx
404	false	0	403867	8	rdi
405	false	0	258163	1	r11
406	false	0	1041706	4	rbp
407	false	0	1615905	7	r10
408	false	0	1876871	2	r13
409	false	0	1729440	7	rdi
410	false	0	1383226	7	r8
411	false	0	591134	8	r8
412	false	0	117941	8	r8
413	false	0	35908	6	rbx
414	false	0	723108	3	rbp
415	false	0	856637	2	rbp
416	false	0	1626119	9	rcx
417	false	0	1003325	4	r8
418	false	0	1653336	4	rdi
419	false	0	996503	5	r10
420	false	0	1078778	2	r14
421	false	0	1347464	5	rcx
422	false	0	1885400	2	rcx
423	false	0	853433	2	rsi
424	false	0	1685992	2	r15
425	false	0	168936	1	r15
426	false	0	749671	0	r12
427	false	0	903469	7	r12
428	false	0	278696	8	rax
429	false	0	278696	8	r12
430	false	0	1890583	9	rsp
431	false	0	301298	8	rbx
432	false	0	1021412	8	r13
433	false	0	45356	9	rdx
434	false	0	679821	0	r8
435	false	0	294348	6	rdx
436	false	0	561236	6	rbx
437	false	0	522868	9	r11
438	false	0	1455556	2	r8
439	false	0	829920	4	rax
440	false	0	1509370	0	r14
441	false	0	621784	8	r14
442	false	0	1687807	4	rbx
443	false	0	23714	7	r12
444	false	0	1422127	5	r9
445	false	0	411995	4	rsi
446	false	0	411995	4	r11
447	false	0	362088	4	r11
448	false	0	1560959	9	rsp
449	false	0	178957	6	rsp
450	false	0	178957	6	rsp
